id,استان,شهرستان,جمع,مرد,زن,شهری,روستایی
12,فارس,مرودشت, 337.1 , 172.5 , 164.6 , 193.8 , 143.3 
12,يزد,مروست, 15.9 , 8.3 , 7.5 , 9.9 , 6.0 
06,كردستان,مريوان, 204.5 , 104.4 , 100.1 , 162.5 , 41.9 
13,خوزستان,مسجدسليمان, 119.1 , 61.0 , 58.1 , 105.8 , 13.3 
04,اردبيل,مشگين شهر, 150.6 , 76.4 , 74.2 , 89.0 , 61.6 
16,خراسان رضوئ,مشهد," 3,619.8 "," 1,813.5 "," 1,806.3 "," 3,260.3 ", 359.5 
17,تهران,ملارد, 399.2 , 203.2 , 196.0 , 335.2 , 64.0 
02,همدان,ملاير, 297.2 , 148.8 , 148.4 , 192.6 , 104.7 
08,ايلام,ملكشاهي, 20.0 , 9.9 , 10.1 , 14.2 , 5.7 
20,آذربايجان شرقي,ملکان, 117.4 , 60.1 , 57.4 , 39.1 , 78.4 
13,فارس,ممسني, 112.7 , 57.3 , 55.5 , 65.0 , 47.7 
13,كرمان,منوجان, 63.7 , 31.4 , 32.3 , 21.3 , 42.3 
30,خراسان رضوئ,مه ولات, 55.2 , 27.7 , 27.4 , 23.5 , 31.7 
07,آذربايجان غربي,مهاباد, 255.6 , 128.1 , 127.5 , 200.5 , 55.1 
05,سمنان,مهدئ شهر, 51.5 , 25.9 , 25.7 , 47.1 , 4.5 
21,فارس,مهر, 67.8 , 34.2 , 33.7 , 36.4 , 31.4 
05,ايلام,مهران, 31.3 , 16.0 , 15.4 , 21.0 , 10.4 
13,سيستان وبلوچستان,مهرستان, 78.8 , 39.0 , 39.8 , 19.4 , 59.5 
04,يزد,مهريز, 53.8 , 27.2 , 26.6 , 35.9 , 17.9 
07,سمنان,ميامي, 38.4 , 18.9 , 19.6 , 6.2 , 32.2 
08,آذربايجان غربي,مياندوآب, 238.2 , 122.2 , 116.0 , 146.7 , 91.5 
25,مازندران,مياندورود, 55.9 , 27.8 , 28.1 , 11.7 , 44.2 
10,آذربايجان شرقي,ميانه, 183.6 , 93.9 , 89.7 , 119.4 , 64.2 
06,يزد,ميبد, 111.3 , 56.2 , 55.1 , 102.5 , 8.8 
17,سيستان وبلوچستان,ميرجاوه, 51.5 , 26.4 , 25.1 , 11.8 , 39.7 
05,هرمزگان,ميناب, 283.7 , 143.0 , 140.7 , 110.8 , 172.9 
07,گلستان,مينودشت, 76.7 , 38.6 , 38.1 , 38.8 , 37.9 
13,اصفهان,نايين, 40.4 , 19.8 , 20.6 , 33.6 , 6.8 
14,اصفهان,نجف آباد, 338.5 , 171.0 , 167.5 , 313.6 , 25.0 
21,كرمان,نرماشير, 48.5 , 23.8 , 24.7 , 5.5 , 43.0 
15,اصفهان,نطنز, 45.5 , 23.0 , 22.5 , 36.2 , 9.2 
03,البرز,نظرآباد, 159.4 , 81.3 , 78.1 , 132.6 , 26.8 
09,آذربايجان غربي,نقده, 133.5 , 67.3 , 66.2 , 96.1 , 37.4 
19,مازندران,نكا, 123.2 , 61.9 , 61.3 , 67.3 , 55.9 
08,اردبيل,نمين, 60.9 , 30.7 , 30.2 , 27.2 , 33.8 
03,همدان,نهاوند, 177.0 , 88.2 , 88.7 , 91.2 , 85.8 
05,خراسان جنوبي,نهبندان, 54.0 , 27.7 , 26.3 , 23.6 , 30.4 
14,مازندران,نور, 128.2 , 64.3 , 63.9 , 60.4 , 67.8 
15,مازندران,نوشهر, 143.9 , 71.8 , 72.0 , 56.2 , 87.7 
14,فارس,ني ريز, 81.3 , 40.8 , 40.5 , 56.9 , 24.4 
09,اردبيل,نير, 18.2 , 9.4 , 8.8 , 5.5 , 12.7 
17,خراسان رضوئ,نيشابور, 418.1 , 208.5 , 209.6 , 289.9 , 128.2 
07,سيستان وبلوچستان,نيک شهر, 116.8 , 58.5 , 58.3 , 30.2 , 86.6 
15,سيستان وبلوچستان,نيمروز, 49.7 , 24.9 , 24.7 , 4.3 , 45.4 
16,سيستان وبلوچستان,هامون, 41.4 , 20.9 , 20.5 , 9.9 , 31.5 
11,کرمانشاه,هرسين, 73.6 , 37.0 , 36.5 , 49.0 , 24.6 
28,اصفهان,هرند, 24.0 , 12.3 , 11.7 , 11.6 , 12.4 
16,آذربايجان شرقي,هريس, 70.6 , 35.4 , 35.2 , 36.7 , 34.0 
11,آذربايجان شرقي,هشترود, 57.1 , 29.4 , 27.7 , 22.7 , 34.4 
22,خوزستان,هفتکل, 23.0 , 11.7 , 11.3 , 17.9 , 5.0 
11,ايلام,هليلان, 15.9 , 8.1 , 7.7 , 4.1 , 11.8 
04,همدان,همدان, 705.8 , 353.4 , 352.4 , 628.1 , 77.6 
18,خوزستان,هنديجان, 41.0 , 20.9 , 20.1 , 33.1 , 7.9 
27,آذربايجان شرقي,هوراند, 21.1 , 10.5 , 10.6 , 4.7 , 16.4 
23,خوزستان,هويزه, 43.0 , 22.3 , 20.7 , 27.2 , 15.8 
11,سيستان وبلوچستان,هيرمند, 63.1 , 32.1 , 31.0 , 8.8 , 54.3 
06,تهران,ورامين, 298.2 , 150.7 , 147.5 , 241.3 , 56.9 
24,آذربايجان شرقي,ورزقان, 54.5 , 27.5 , 27.1 , 9.0 , 45.5 
27,اصفهان,ورزنه, 27.3 , 14.0 , 13.3 , 13.4 , 13.9 
05,يزد,يزد, 725.8 , 369.3 , 356.4 , 670.3 , 55.4 
